T08,Public expenditure on education (new),,,,
270,Gambia,2010,Expenditure by level of education: primary (as % of government expenditure),65.3285,
270,Gambia,2010,Expenditure by level of education: secondary (as % of government expenditure),23.4011,
270,Gambia,2010,Expenditure by level of education: tertiary (as % of government expenditure),9.8818,
270,Gambia,2010,Government expenditure on education (% of government expenditure),17.6112,
270,Gambia,2010,Public expenditure on education (% of GDP),4.1561,
270,Gambia,2012,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),7.4238,
270,Gambia,2012,All staff compensation as % of total expenditure in public institutions (%),50.4172,
270,Gambia,2012,Capital expenditure as % of total expenditure in public institutions (%),42.159,
270,Gambia,2012,Expenditure by level of education: primary (as % of government expenditure),59.9522,
270,Gambia,2012,Expenditure by level of education: secondary (as % of government expenditure),31.3587,
270,Gambia,2012,Expenditure by level of education: tertiary (as % of government expenditure),7.3608,
270,Gambia,2012,Government expenditure on education (% of government expenditure),13.7955,
270,Gambia,2012,Public expenditure on education (% of GDP),4.1012,
270,Gambia,2015,Expenditure by level of education: primary (as % of government expenditure),55.837,
270,Gambia,2015,Expenditure by level of education: secondary (as % of government expenditure),32.8347,
270,Gambia,2015,Expenditure by level of education: tertiary (as % of government expenditure),11.3283,
270,Gambia,2015,Government expenditure on education (% of government expenditure),11.0329,
270,Gambia,2015,Public expenditure on education (% of GDP),2.1353,
270,Gambia,2018,Government expenditure on education (% of government expenditure),11.1883,Estimate.
270,Gambia,2018,Public expenditure on education (% of GDP),2.4328,Estimate.
268,Georgia,2005,Government expenditure on education (% of government expenditure),11.1813,
268,Georgia,2005,Public expenditure on education (% of GDP),2.4843,
268,Georgia,2008,Expenditure by level of education: pre-primary (as % of government expenditure),10.6728,
268,Georgia,2008,Expenditure by level of education: primary (as % of government expenditure),35.9998,
268,Georgia,2008,Expenditure by level of education: secondary (as % of government expenditure),36.9695,
268,Georgia,2008,Expenditure by level of education: tertiary (as % of government expenditure),11.5767,
268,Georgia,2008,Government expenditure on education (% of government expenditure),8.9376,
268,Georgia,2008,Public expenditure on education (% of GDP),2.9196,
268,Georgia,2009,Expenditure by level of education: pre-primary (as % of government expenditure),12.2778,Estimate.
268,Georgia,2009,Government expenditure on education (% of government expenditure),8.9983,Estimate.
268,Georgia,2009,Public expenditure on education (% of GDP),3.2224,Estimate.
268,Georgia,2012,Expenditure by level of education: pre-primary (as % of government expenditure),14.3611,
268,Georgia,2012,Expenditure by level of education: primary (as % of government expenditure),34.3393,
268,Georgia,2012,Expenditure by level of education: secondary (as % of government expenditure),32.1288,
268,Georgia,2012,Expenditure by level of education: tertiary (as % of government expenditure),19.1708,
268,Georgia,2012,Government expenditure on education (% of government expenditure),6.7078,
268,Georgia,2012,Public expenditure on education (% of GDP),1.9833,
268,Georgia,2017,Expenditure by level of education: tertiary (as % of government expenditure),10.0781,
268,Georgia,2017,Government expenditure on education (% of government expenditure),12.9534,
268,Georgia,2017,Public expenditure on education (% of GDP),3.8497,
276,Germany,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),19.8397,
276,Germany,2010,All staff compensation as % of total expenditure in public institutions (%),70.5699,
276,Germany,2010,Capital expenditure as % of total expenditure in public institutions (%),9.5904,
276,Germany,2010,Expenditure by level of education: pre-primary (as % of government expenditure),9.1225,
276,Germany,2010,Expenditure by level of education: primary (as % of government expenditure),13.483,
276,Germany,2010,Expenditure by level of education: secondary (as % of government expenditure),45.5476,
276,Germany,2010,Expenditure by level of education: tertiary (as % of government expenditure),27.1625,
276,Germany,2010,Government expenditure on education (% of government expenditure),10.269,
276,Germany,2010,Public expenditure on education (% of GDP),4.9137,
276,Germany,2015,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.1864,
276,Germany,2015,All staff compensation as % of total expenditure in public institutions (%),72.9941,
276,Germany,2015,Capital expenditure as % of total expenditure in public institutions (%),6.8195,
276,Germany,2015,Expenditure by level of education: pre-primary (as % of government expenditure),9.4892,
276,Germany,2015,Expenditure by level of education: primary (as % of government expenditure),12.9331,
276,Germany,2015,Expenditure by level of education: secondary (as % of government expenditure),41.8547,
276,Germany,2015,Expenditure by level of education: tertiary (as % of government expenditure),25.9491,
276,Germany,2015,Government expenditure on education (% of government expenditure),10.978,
276,Germany,2015,Public expenditure on education (% of GDP),4.8052,
276,Germany,2016,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),20.1654,
276,Germany,2016,All staff compensation as % of total expenditure in public institutions (%),73.1142,
276,Germany,2016,Capital expenditure as % of total expenditure in public institutions (%),6.7204,
276,Germany,2016,Expenditure by level of education: pre-primary (as % of government expenditure),9.4888,
276,Germany,2016,Expenditure by level of education: primary (as % of government expenditure),12.9209,
276,Germany,2016,Expenditure by level of education: secondary (as % of government expenditure),41.2566,
276,Germany,2016,Expenditure by level of education: tertiary (as % of government expenditure),25.9858,
276,Germany,2016,Government expenditure on education (% of government expenditure),10.9254,
276,Germany,2016,Public expenditure on education (% of GDP),4.8009,
288,Ghana,2005,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),22.267,
288,Ghana,2005,All staff compensation as % of total expenditure in public institutions (%),62.9928,
288,Ghana,2005,Capital expenditure as % of total expenditure in public institutions (%),14.7402,
288,Ghana,2005,Expenditure by level of education: pre-primary (as % of government expenditure),5.9473,
288,Ghana,2005,Expenditure by level of education: primary (as % of government expenditure),39.4537,
288,Ghana,2005,Expenditure by level of education: secondary (as % of government expenditure),32.5161,
288,Ghana,2005,Expenditure by level of education: tertiary (as % of government expenditure),22.0727,
288,Ghana,2005,Government expenditure on education (% of government expenditure),23.43,
288,Ghana,2005,Public expenditure on education (% of GDP),7.4221,
288,Ghana,2010,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),14.2659,
288,Ghana,2010,All staff compensation as % of total expenditure in public institutions (%),68.8192,
288,Ghana,2010,Capital expenditure as % of total expenditure in public institutions (%),16.915,
288,Ghana,2010,Expenditure by level of education: pre-primary (as % of government expenditure),6.0536,
288,Ghana,2010,Expenditure by level of education: primary (as % of government expenditure),30.8666,
288,Ghana,2010,Expenditure by level of education: secondary (as % of government expenditure),37.1173,
288,Ghana,2010,Expenditure by level of education: tertiary (as % of government expenditure),25.9484,
288,Ghana,2010,Government expenditure on education (% of government expenditure),20.6961,
288,Ghana,2010,Public expenditure on education (% of GDP),5.5406,
288,Ghana,2014,Current expenditure other than staff compensation as % of total expenditure in public institutions (%),18.1727,
288,Ghana,2014,All staff compensation as % of total expenditure in public institutions (%),73.2517,
288,Ghana,2014,Capital expenditure as % of total expenditure in public institutions (%),8.5756,
288,Ghana,2014,Expenditure by level of education: pre-primary (as % of government expenditure),7.3012,
288,Ghana,2014,Expenditure by level of education: primary (as % of government expenditure),21.6973,
288,Ghana,2014,Expenditure by level of education: secondary (as % of government expenditure),36.9819,
